epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.6953,1.38018,6.02602,1.04937,0,0,0,0,1.18874,5.2756,0.94864,0.000176762,5.89208e-05,0.000176762,5.89208e-05,0.000176762,5.89208e-05,0.000176762,5.89208e-05
2,30.7645,1.27715,5.7018,0.9526,0.01511,0.05606,0.01197,0.00949,1.17459,4.72629,0.90436,0.00035224,0.000117413,0.00035224,0.000117413,0.00035224,0.000117413,0.00035224,0.000117413
3,42.5757,1.30841,5.22931,0.93414,0.42199,0.05618,0.02659,0.01967,1.17426,3.84922,0.89332,0.000524174,0.000174725,0.000524174,0.000174725,0.000524174,0.000174725,0.000524174,0.000174725
4,54.277,1.27466,4.67909,0.91146,0.66055,0.06505,0.04092,0.03069,1.14177,3.30673,0.88531,0.000521051,0.000173684,0.000521051,0.000173684,0.000521051,0.000173684,0.000521051,0.000173684
5,65.9146,1.26058,4.29392,0.90578,0.54716,0.0868,0.06319,0.04645,1.0981,2.94624,0.87419,0.000515735,0.000171912,0.000515735,0.000171912,0.000515735,0.000171912,0.000515735,0.000171912
6,77.867,1.20846,3.88707,0.89221,0.60932,0.08713,0.08475,0.06295,1.0735,2.70416,0.86941,0.000510418,0.000170139,0.000510418,0.000170139,0.000510418,0.000170139,0.000510418,0.000170139
7,89.5364,1.19672,3.59444,0.89016,0.64141,0.10194,0.10794,0.07971,1.05163,2.46617,0.86632,0.000505102,0.000168367,0.000505102,0.000168367,0.000505102,0.000168367,0.000505102,0.000168367
8,101.846,1.13446,3.37139,0.88648,0.56435,0.12669,0.12538,0.09394,1.00916,2.24752,0.85974,0.000499786,0.000166595,0.000499786,0.000166595,0.000499786,0.000166595,0.000499786,0.000166595
9,113.711,1.14,3.2229,0.8784,0.60832,0.1486,0.14915,0.11122,0.99776,2.06888,0.85754,0.00049447,0.000164823,0.00049447,0.000164823,0.00049447,0.000164823,0.00049447,0.000164823
10,125.401,1.12808,3.08009,0.87344,0.47539,0.19816,0.17696,0.12957,0.97936,1.92721,0.85372,0.000489153,0.000163051,0.000489153,0.000163051,0.000489153,0.000163051,0.000489153,0.000163051
11,137.824,1.10348,2.88863,0.87293,0.64579,0.19386,0.20496,0.15081,0.96106,1.79793,0.85111,0.000483837,0.000161279,0.000483837,0.000161279,0.000483837,0.000161279,0.000483837,0.000161279
12,149.643,1.09884,2.79771,0.86683,0.64151,0.22332,0.23542,0.17134,0.94488,1.69602,0.84924,0.000478521,0.000159507,0.000478521,0.000159507,0.000478521,0.000159507,0.000478521,0.000159507
13,161.655,1.07466,2.66651,0.86562,0.6736,0.2325,0.27046,0.19692,0.93775,1.60563,0.84923,0.000473204,0.000157735,0.000473204,0.000157735,0.000473204,0.000157735,0.000473204,0.000157735
