epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.4688,1.60648,5.94841,1.14536,0,0,0,0,1.2532,5.28114,0.95619,0.000176762,5.89208e-05,0.000176762,5.89208e-05,0.000176762,5.89208e-05,0.000176762,5.89208e-05
2,65.5454,1.40178,5.65975,1.02689,0.016,0.03842,0.01105,0.00741,1.33792,4.78439,0.93503,0.00035224,0.000117413,0.00035224,0.000117413,0.00035224,0.000117413,0.00035224,0.000117413
3,95.8233,1.4155,5.20382,0.98808,0.37818,0.05297,0.02564,0.01638,1.40213,3.95686,0.94829,0.000524174,0.000174725,0.000524174,0.000174725,0.000524174,0.000174725,0.000524174,0.000174725
4,124.089,1.39817,4.68698,0.96309,0.57582,0.07441,0.03989,0.02539,1.38788,3.44316,0.94783,0.000521051,0.000173684,0.000521051,0.000173684,0.000521051,0.000173684,0.000521051,0.000173684
5,153.306,1.36919,4.27219,0.94975,0.60591,0.08702,0.06006,0.03808,1.37374,3.0482,0.93565,0.000515735,0.000171912,0.000515735,0.000171912,0.000515735,0.000171912,0.000515735,0.000171912
6,181.866,1.36241,4.00405,0.94366,0.64404,0.09931,0.08017,0.05207,1.34795,2.79009,0.92734,0.000510418,0.000170139,0.000510418,0.000170139,0.000510418,0.000170139,0.000510418,0.000170139
7,208.066,1.30517,3.70239,0.92699,0.63618,0.1034,0.09755,0.06451,1.29607,2.57518,0.91395,0.000505102,0.000168367,0.000505102,0.000168367,0.000505102,0.000168367,0.000505102,0.000168367
8,239.679,1.29342,3.56553,0.92551,0.59447,0.11863,0.11331,0.07484,1.27218,2.38646,0.90818,0.000499786,0.000166595,0.000499786,0.000166595,0.000499786,0.000166595,0.000499786,0.000166595
9,264.377,1.25589,3.33895,0.92063,0.55994,0.14361,0.12942,0.08542,1.26767,2.22147,0.90992,0.00049447,0.000164823,0.00049447,0.000164823,0.00049447,0.000164823,0.00049447,0.000164823
10,290.688,1.25424,3.16483,0.91431,0.52604,0.16086,0.14819,0.0981,1.24175,2.08887,0.90371,0.000489153,0.000163051,0.000489153,0.000163051,0.000489153,0.000163051,0.000489153,0.000163051
